dteday,season,weathersit_x,cnt_x,Level_deman_x,hr,weathersit_y,cnt_y,Level_deman_y
2011-01-01,1,2,985,Low,0,1,16,Low
2011-01-01,1,2,985,Low,1,1,40,Low
2011-01-01,1,2,985,Low,2,1,32,Low
2011-01-01,1,2,985,Low,3,1,13,Low
2011-01-01,1,2,985,Low,4,1,1,
2011-01-01,1,2,985,Low,5,2,1,
2011-01-01,1,2,985,Low,6,1,2,Low
2011-01-01,1,2,985,Low,7,1,3,Low
2011-01-01,1,2,985,Low,8,1,8,Low
2011-01-01,1,2,985,Low,9,1,14,Low
2011-01-01,1,2,985,Low,10,1,36,Low
2011-01-01,1,2,985,Low,11,1,56,Medium
2011-01-01,1,2,985,Low,12,1,84,Medium
2011-01-01,1,2,985,Low,13,2,94,Medium
2011-01-01,1,2,985,Low,14,2,106,Medium
2011-01-01,1,2,985,Low,15,2,110,Medium
2011-01-01,1,2,985,Low,16,2,93,Medium
2011-01-01,1,2,985,Low,17,2,67,Medium
2011-01-01,1,2,985,Low,18,3,35,Low
2011-01-01,1,2,985,Low,19,3,37,Low
2011-01-01,1,2,985,Low,20,2,36,Low
2011-01-01,1,2,985,Low,21,2,34,Low
2011-01-01,1,2,985,Low,22,2,28,Low
2011-01-01,1,2,985,Low,23,2,39,Low
2011-01-02,1,2,801,Low,0,2,17,Low
2011-01-02,1,2,801,Low,1,2,17,Low
2011-01-02,1,2,801,Low,2,2,9,Low
2011-01-02,1,2,801,Low,3,2,6,Low
2011-01-02,1,2,801,Low,4,2,3,Low
2011-01-02,1,2,801,Low,6,3,2,Low
2011-01-02,1,2,801,Low,7,2,1,
2011-01-02,1,2,801,Low,8,3,8,Low
2011-01-02,1,2,801,Low,9,2,20,Low
2011-01-02,1,2,801,Low,10,2,53,Medium
2011-01-02,1,2,801,Low,11,2,70,Medium
2011-01-02,1,2,801,Low,12,2,93,Medium
2011-01-02,1,2,801,Low,13,2,75,Medium
2011-01-02,1,2,801,Low,14,3,59,Medium
2011-01-02,1,2,801,Low,15,3,74,Medium
2011-01-02,1,2,801,Low,16,3,76,Medium
2011-01-02,1,2,801,Low,17,1,65,Medium
2011-01-02,1,2,801,Low,18,2,53,Medium
2011-01-02,1,2,801,Low,19,1,30,Low
2011-01-02,1,2,801,Low,20,1,22,Low
2011-01-02,1,2,801,Low,21,1,31,Low
2011-01-02,1,2,801,Low,22,1,9,Low
2011-01-02,1,2,801,Low,23,1,8,Low
2011-01-03,1,1,1349,Low,0,1,5,Low
2011-01-03,1,1,1349,Low,1,1,2,Low
2011-01-03,1,1,1349,Low,4,1,1,
2011-01-03,1,1,1349,Low,5,1,3,Low
2011-01-03,1,1,1349,Low,6,1,30,Low
2011-01-03,1,1,1349,Low,7,1,64,Medium
2011-01-03,1,1,1349,Low,8,1,154,Medium
2011-01-03,1,1,1349,Low,9,1,88,Medium
2011-01-03,1,1,1349,Low,10,1,44,Medium
2011-01-03,1,1,1349,Low,11,1,51,Medium
2011-01-03,1,1,1349,Low,12,1,61,Medium
2011-01-03,1,1,1349,Low,13,1,61,Medium
2011-01-03,1,1,1349,Low,14,1,77,Medium
2011-01-03,1,1,1349,Low,15,1,72,Medium
2011-01-03,1,1,1349,Low,16,1,76,Medium
2011-01-03,1,1,1349,Low,17,1,157,Medium
2011-01-03,1,1,1349,Low,18,1,157,Medium
2011-01-03,1,1,1349,Low,19,1,110,Medium
2011-01-03,1,1,1349,Low,20,1,52,Medium
2011-01-03,1,1,1349,Low,21,1,52,Medium
2011-01-03,1,1,1349,Low,22,1,20,Low
2011-01-03,1,1,1349,Low,23,1,12,Low
2011-01-04,1,1,1562,Low,0,1,5,Low
2011-01-04,1,1,1562,Low,1,1,2,Low
2011-01-04,1,1,1562,Low,2,1,1,
2011-01-04,1,1,1562,Low,4,1,2,Low
2011-01-04,1,1,1562,Low,5,1,4,Low
2011-01-04,1,1,1562,Low,6,1,36,Low
2011-01-04,1,1,1562,Low,7,1,94,Medium
2011-01-04,1,1,1562,Low,8,1,179,Medium
2011-01-04,1,1,1562,Low,9,1,100,Medium
2011-01-04,1,1,1562,Low,10,2,42,Medium
2011-01-04,1,1,1562,Low,11,1,57,Medium
2011-01-04,1,1,1562,Low,12,1,78,Medium
2011-01-04,1,1,1562,Low,13,1,97,Medium
2011-01-04,1,1,1562,Low,14,1,63,Medium
2011-01-04,1,1,1562,Low,15,1,65,Medium
2011-01-04,1,1,1562,Low,16,1,83,Medium
2011-01-04,1,1,1562,Low,17,1,212,Medium
2011-01-04,1,1,1562,Low,18,1,182,Medium
2011-01-04,1,1,1562,Low,19,1,112,Medium
2011-01-04,1,1,1562,Low,20,1,54,Medium
2011-01-04,1,1,1562,Low,21,1,48,Medium
2011-01-04,1,1,1562,Low,22,1,35,Low
2011-01-04,1,1,1562,Low,23,1,11,Low
2011-01-05,1,1,1600,Low,0,1,6,Low
2011-01-05,1,1,1600,Low,1,1,6,Low
2011-01-05,1,1,1600,Low,2,1,2,Low
2011-01-05,1,1,1600,Low,4,1,2,Low
2011-01-05,1,1,1600,Low,5,1,3,Low
2011-01-05,1,1,1600,Low,6,1,33,Low
2011-01-05,1,1,1600,Low,7,1,88,Medium
2011-01-05,1,1,1600,Low,8,1,195,Medium
2011-01-05,1,1,1600,Low,9,1,115,Medium
2011-01-05,1,1,1600,Low,10,1,57,Medium
2011-01-05,1,1,1600,Low,11,1,46,Medium
2011-01-05,1,1,1600,Low,12,1,79,Medium
2011-01-05,1,1,1600,Low,13,1,71,Medium
2011-01-05,1,1,1600,Low,14,1,62,Medium
2011-01-05,1,1,1600,Low,15,1,62,Medium
2011-01-05,1,1,1600,Low,16,1,89,Medium
2011-01-05,1,1,1600,Low,17,1,190,Medium
2011-01-05,1,1,1600,Low,18,1,169,Medium
2011-01-05,1,1,1600,Low,19,1,132,Medium
2011-01-05,1,1,1600,Low,20,1,89,Medium
2011-01-05,1,1,1600,Low,21,1,43,Medium
2011-01-05,1,1,1600,Low,22,1,42,Medium
2011-01-05,1,1,1600,Low,23,1,19,Low
2011-01-06,1,1,1606,Low,0,1,11,Low
2011-01-06,1,1,1606,Low,1,1,4,Low
2011-01-06,1,1,1606,Low,2,1,2,Low
2011-01-06,1,1,1606,Low,4,2,1,
2011-01-06,1,1,1606,Low,5,2,4,Low
2011-01-06,1,1,1606,Low,6,2,36,Low
2011-01-06,1,1,1606,Low,7,2,95,Medium
2011-01-06,1,1,1606,Low,8,1,219,Medium
2011-01-06,1,1,1606,Low,9,2,122,Medium
2011-01-06,1,1,1606,Low,10,1,45,Medium
2011-01-06,1,1,1606,Low,11,1,59,Medium
2011-01-06,1,1,1606,Low,12,1,84,Medium
2011-01-06,1,1,1606,Low,13,1,67,Medium
2011-01-06,1,1,1606,Low,14,1,70,Medium
2011-01-06,1,1,1606,Low,15,1,62,Medium
2011-01-06,1,1,1606,Low,16,1,86,Medium
2011-01-06,1,1,1606,Low,17,1,172,Medium
2011-01-06,1,1,1606,Low,18,1,163,Medium
2011-01-06,1,1,1606,Low,19,1,112,Medium
2011-01-06,1,1,1606,Low,20,1,69,Medium
2011-01-06,1,1,1606,Low,21,2,48,Medium
2011-01-06,1,1,1606,Low,22,2,52,Medium
2011-01-06,1,1,1606,Low,23,2,23,Low
2011-01-07,1,2,1510,Low,0,2,17,Low
2011-01-07,1,2,1510,Low,1,2,7,Low
2011-01-07,1,2,1510,Low,2,2,1,
2011-01-07,1,2,1510,Low,4,2,1,
2011-01-07,1,2,1510,Low,5,3,5,Low
2011-01-07,1,2,1510,Low,6,2,34,Low
2011-01-07,1,2,1510,Low,7,1,84,Medium
2011-01-07,1,2,1510,Low,8,1,210,Medium
2011-01-07,1,2,1510,Low,9,1,134,Medium
2011-01-07,1,2,1510,Low,10,1,63,Medium
2011-01-07,1,2,1510,Low,11,2,67,Medium
2011-01-07,1,2,1510,Low,12,2,59,Medium
2011-01-07,1,2,1510,Low,13,2,73,Medium
2011-01-07,1,2,1510,Low,14,2,50,Medium
2011-01-07,1,2,1510,Low,15,2,72,Medium
2011-01-07,1,2,1510,Low,16,2,87,Medium
2011-01-07,1,2,1510,Low,17,2,187,Medium
2011-01-07,1,2,1510,Low,18,1,123,Medium
2011-01-07,1,2,1510,Low,19,1,95,Medium
2011-01-07,1,2,1510,Low,20,1,51,Medium
2011-01-07,1,2,1510,Low,21,1,39,Low
2011-01-07,1,2,1510,Low,22,2,36,Low
2011-01-07,1,2,1510,Low,23,2,15,Low
2011-01-08,1,2,959,Low,0,2,25,Low
2011-01-08,1,2,959,Low,1,2,16,Low
2011-01-08,1,2,959,Low,2,2,16,Low
2011-01-08,1,2,959,Low,3,3,7,Low
2011-01-08,1,2,959,Low,4,3,1,
2011-01-08,1,2,959,Low,5,2,5,Low
2011-01-08,1,2,959,Low,6,2,2,Low
2011-01-08,1,2,959,Low,7,2,9,Low
2011-01-08,1,2,959,Low,8,3,15,Low
2011-01-08,1,2,959,Low,9,3,20,Low
2011-01-08,1,2,959,Low,10,2,61,Medium
2011-01-08,1,2,959,Low,11,2,62,Medium
2011-01-08,1,2,959,Low,12,2,98,Medium
2011-01-08,1,2,959,Low,13,1,102,Medium
2011-01-08,1,2,959,Low,14,1,95,Medium
2011-01-08,1,2,959,Low,15,1,74,Medium
2011-01-08,1,2,959,Low,16,1,76,Medium
2011-01-08,1,2,959,Low,17,1,69,Medium
2011-01-08,1,2,959,Low,18,1,55,Medium
2011-01-08,1,2,959,Low,19,1,30,Low
2011-01-08,1,2,959,Low,20,1,28,Low
2011-01-08,1,2,959,Low,21,1,37,Low
2011-01-08,1,2,959,Low,22,1,34,Low
2011-01-08,1,2,959,Low,23,1,22,Low
2011-01-09,1,1,822,Low,0,1,25,Low
2011-01-09,1,1,822,Low,1,1,12,Low
2011-01-09,1,1,822,Low,2,1,11,Low
2011-01-09,1,1,822,Low,3,1,4,Low
2011-01-09,1,1,822,Low,4,1,1,
2011-01-09,1,1,822,Low,5,1,1,
2011-01-09,1,1,822,Low,6,1,1,
2011-01-09,1,1,822,Low,7,1,6,Low
2011-01-09,1,1,822,Low,8,1,10,Low
2011-01-09,1,1,822,Low,9,1,19,Low
2011-01-09,1,1,822,Low,10,1,49,Medium
2011-01-09,1,1,822,Low,11,1,49,Medium
2011-01-09,1,1,822,Low,12,1,83,Medium
2011-01-09,1,1,822,Low,13,1,75,Medium
2011-01-09,1,1,822,Low,14,1,72,Medium
2011-01-09,1,1,822,Low,15,1,82,Medium
2011-01-09,1,1,822,Low,16,1,92,Medium
2011-01-09,1,1,822,Low,17,1,62,Medium
2011-01-09,1,1,822,Low,18,1,48,Medium
2011-01-09,1,1,822,Low,19,1,41,Medium
2011-01-09,1,1,822,Low,20,1,38,Low
2011-01-09,1,1,822,Low,21,1,20,Low
2011-01-09,1,1,822,Low,22,1,15,Low
2011-01-09,1,1,822,Low,23,1,6,Low
2011-01-10,1,1,1321,Low,0,1,5,Low
2011-01-10,1,1,1321,Low,1,1,1,
2011-01-10,1,1,1321,Low,2,1,3,Low
2011-01-10,1,1,1321,Low,3,1,1,
2011-01-10,1,1,1321,Low,4,1,3,Low
2011-01-10,1,1,1321,Low,5,1,3,Low
2011-01-10,1,1,1321,Low,6,1,31,Low
2011-01-10,1,1,1321,Low,7,1,77,Medium
2011-01-10,1,1,1321,Low,8,2,188,Medium
2011-01-10,1,1,1321,Low,9,2,94,Medium
2011-01-10,1,1,1321,Low,10,2,31,Low
2011-01-10,1,1,1321,Low,11,2,30,Low
2011-01-10,1,1,1321,Low,12,2,52,Medium
2011-01-10,1,1,1321,Low,13,2,54,Medium
2011-01-10,1,1,1321,Low,14,2,47,Medium
2011-01-10,1,1,1321,Low,15,2,45,Medium
2011-01-10,1,1,1321,Low,16,1,74,Medium
2011-01-10,1,1,1321,Low,17,1,178,Medium
2011-01-10,1,1,1321,Low,18,1,155,Medium
2011-01-10,1,1,1321,Low,19,1,95,Medium
2011-01-10,1,1,1321,Low,20,1,74,Medium
2011-01-10,1,1,1321,Low,21,1,38,Low
2011-01-10,1,1,1321,Low,22,1,24,Low
2011-01-10,1,1,1321,Low,23,1,18,Low
2011-01-11,1,2,1263,Low,0,1,12,Low
2011-01-11,1,2,1263,Low,1,1,3,Low
2011-01-11,1,2,1263,Low,2,2,3,Low
2011-01-11,1,2,1263,Low,5,2,6,Low
2011-01-11,1,2,1263,Low,6,2,27,Low
2011-01-11,1,2,1263,Low,7,2,99,Medium
2011-01-11,1,2,1263,Low,8,2,217,Medium
2011-01-11,1,2,1263,Low,9,2,130,Medium
2011-01-11,1,2,1263,Low,10,2,54,Medium
2011-01-11,1,2,1263,Low,11,2,35,Low
2011-01-11,1,2,1263,Low,12,2,57,Medium
2011-01-11,1,2,1263,Low,13,2,52,Medium
2011-01-11,1,2,1263,Low,14,2,63,Medium
2011-01-11,1,2,1263,Low,15,2,47,Medium
2011-01-11,1,2,1263,Low,16,2,76,Medium
2011-01-11,1,2,1263,Low,17,2,136,Medium
2011-01-11,1,2,1263,Low,18,3,95,Medium
2011-01-11,1,2,1263,Low,19,3,51,Medium
2011-01-11,1,2,1263,Low,20,3,32,Low
2011-01-11,1,2,1263,Low,21,3,20,Low
2011-01-11,1,2,1263,Low,22,3,29,Low
2011-01-11,1,2,1263,Low,23,3,19,Low
2011-01-12,1,1,1162,Low,0,2,7,Low
2011-01-12,1,1,1162,Low,1,2,6,Low
2011-01-12,1,1,1162,Low,2,1,1,
2011-01-12,1,1,1162,Low,5,1,5,Low
2011-01-12,1,1,1162,Low,6,1,16,Low
2011-01-12,1,1,1162,Low,7,1,54,Medium
2011-01-12,1,1,1162,Low,8,1,128,Medium
2011-01-12,1,1,1162,Low,9,1,81,Medium
2011-01-12,1,1,1162,Low,10,1,39,Low
2011-01-12,1,1,1162,Low,11,1,35,Low
2011-01-12,1,1,1162,Low,12,1,55,Medium
2011-01-12,1,1,1162,Low,13,1,49,Medium
2011-01-12,1,1,1162,Low,14,1,44,Medium
2011-01-12,1,1,1162,Low,15,1,49,Medium
2011-01-12,1,1,1162,Low,16,1,68,Medium
2011-01-12,1,1,1162,Low,17,1,139,Medium
2011-01-12,1,1,1162,Low,18,1,137,Medium
2011-01-12,1,1,1162,Low,19,1,83,Medium
2011-01-12,1,1,1162,Low,20,1,56,Medium
2011-01-12,1,1,1162,Low,21,1,57,Medium
2011-01-12,1,1,1162,Low,22,1,33,Low
2011-01-12,1,1,1162,Low,23,1,20,Low
2011-01-13,1,1,1406,Low,0,1,7,Low
2011-01-13,1,1,1406,Low,1,1,2,Low
2011-01-13,1,1,1406,Low,2,1,2,Low
2011-01-13,1,1,1406,Low,3,1,3,Low
2011-01-13,1,1,1406,Low,4,1,4,Low
2011-01-13,1,1,1406,Low,5,1,3,Low
2011-01-13,1,1,1406,Low,6,1,28,Low
2011-01-13,1,1,1406,Low,7,1,72,Medium
2011-01-13,1,1,1406,Low,8,1,202,Medium
2011-01-13,1,1,1406,Low,9,1,139,Medium
2011-01-13,1,1,1406,Low,10,2,38,Low
2011-01-13,1,1,1406,Low,11,2,37,Low
